"","SPECIES","GENERA","EPITHET","FAMILY","PHYLUM","EPILIST","FLORA","DATASET_CLASSIFICATION","BIOME","COUNTRY","WWF_ECOREGION"
"598","Hymenophyllum elegans","Hymenophyllum","elegans","Hymenophyllaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","6, 9, 11"
"599","Hymenophyllum fragile","Hymenophyllum","fragile","Hymenophyllaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Cerrado","Brazil","9, 11"
"600","Hymenophyllum hirsutum","Hymenophyllum","hirsutum","Hymenophyllaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","6, 7, 8, 9, 11"
"601","Hymenophyllum pectinatum","Hymenophyllum","pectinatum","Hymenophyllaceae","Pteridophyte","Epiphyte","Unknown","All","Chaco","Paraguay","16"
"602","Hymenophyllum peltatum","Hymenophyllum","peltatum","Hymenophyllaceae","Pteridophyte","Epiphyte","Rupicolous","All","Chaco","Argentina","13"
"603","Hymenophyllum plumosum","Hymenophyllum","plumosum","Hymenophyllaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Cerrado","Brazil","6, 9, 11"
"604","Hymenophyllum polyanthos","Hymenophyllum","polyanthos","Hymenophyllaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Chaco","Argentina; Brazil; Paraguay","1, 5, 6, 7, 8, 9, 10, 11, 16, 25"
"605","Hymenophyllum pulchellum","Hymenophyllum","pulchellum","Hymenophyllaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Cerrado","Brazil","9, 11"
"606","Hymenophyllum rufum","Hymenophyllum","rufum","Hymenophyllaceae","Pteridophyte","Epiphyte","Epiphyte","All","Cerrado","Brazil","6, 9, 11"
"607","Hymenophyllum tunbrigense","Hymenophyllum","tunbrigense","Hymenophyllaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Cerrado; Chaco","Argentina; Brazil","6, 13"
"608","Hymenophyllum undulatum","Hymenophyllum","undulatum","Hymenophyllaceae","Pteridophyte","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","6, 7, 9, 11"
"609","Hypenia macrantha","Hypenia","macrantha","Lamiaceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"610","Medusantha crinita","Medusantha","crinita","Lamiaceae","Angiospermae","Unknown","Unknown","Paper exclusive accidental","Edge","Brazil","20"
"611","Hyptis sp.","Hyptis",NA,"Lamiaceae","Angiospermae",NA,NA,"Paper exclusive","Edge","Brazil","20"
"612","Hyptis villosa","Hyptis","villosa","Lamiaceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"613","Ionopsis utricularioides","Ionopsis","utricularioides","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado; Pantanal","Brazil","1, 7, 11, 21"
"614","Ipomoea sp.","Ipomoea",NA,"Convolvulaceae","Angiospermae",NA,NA,"Paper exclusive","Edge","Brazil","20"
"615","Isabelia violacea","Isabelia","violacea","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Edge","Brazil","7, 11, 20"
"616","Isabelia virginalis","Isabelia","virginalis","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Cerrado","Brazil","1, 11"
"617","Isochilus linearis","Isochilus","linearis","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado; Chaco; Pantanal","Argentina; Bolivia; Brazil","1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 21, 25"
"618","Jacquiniella globosa","Jacquiniella","globosa","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga","Brazil","7, 8, 24"
"619","Laelia gloriosa","Laelia","gloriosa","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","1, 7, 8, 11, 18"
"620","Lankesterella ceracifolia","Lankesterella","ceracifolia","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado; Chaco","Argentina; Brazil","7, 11, 16"
"621","Lankesterella gnoma","Lankesterella","gnoma","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"622","Lellingeria apiculata","Lellingeria","apiculata","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","5, 6, 7, 9, 11"
"623","Lellingeria brevistipes","Lellingeria","brevistipes","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Cerrado","Brazil","9, 11"
"624","Lellingeria tunguraguae","Lellingeria","tunguraguae","Polypodiaceae","Pteridophyte","Epiphyte","Unknown","All","Chaco","Argentina","10, 25"
"625","Leochilus labiatus","Leochilus","labiatus","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","7, 8"
"626","Lepismium cruciforme","Lepismium","cruciforme","Cactaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Chaco","Argentina; Brazil; Paraguay","6, 7, 11, 16, 22"
"627","Lepismium houlletianum","Lepismium","houlletianum","Cactaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado; Chaco","Argentina; Brazil","9, 11, 25"
"628","Lepismium lumbricoides","Lepismium","lumbricoides","Cactaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Cerrado; Chaco","Argentina; Brazil; Paraguay","10, 11, 13, 16, 22, 25"
"629","Leptotes bicolor","Leptotes","bicolor","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"630","Leptotes vellozicola","Leptotes","vellozicola","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","9"
"631","Leucotrichum organense","Leucotrichum","organense","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","7, 9, 11"
"632","Leucotrichum schenckii","Leucotrichum","schenckii","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 9, 11"
"633","Lindsaea guianensis","Lindsaea","guianensis","Lindsaeaceae","Pteridophyte","Unknown","Terrestrial","Paper exclusive accidental","Cerrado","Brazil","11"
"634","Lippia lupulina","Lippia","lupulina","Verbenaceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"635","Lippia sp.","Lippia",NA,"Verbenaceae","Angiospermae",NA,NA,"Paper exclusive","Caatinga","Brazil","6"
"636","Lockhartia goyazensis","Lockhartia","goyazensis","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","1, 7, 11, 18, 24"
"637","Lockhartia imbricata","Lockhartia","imbricata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"638","Lockhartia lunifera","Lockhartia","lunifera","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11, 18"
"639","Lomaridium plumieri","Lomaridium","plumieri","Blechnaceae","Pteridophyte","Epiphyte","Hemiepiphyte","All","Caatinga; Cerrado; Edge","Brazil; Paraguay","7, 11, 20"
"640","Lomariopsis japurensis","Lomariopsis","japurensis","Lomariopsidaceae","Pteridophyte","Hemiepiphyte","Hemiepiphyte","All","Caatinga; Cerrado","Brazil","7, 8, 11"
"641","Lomariopsis marginata","Lomariopsis","marginata","Lomariopsidaceae","Pteridophyte","Epiphyte","Hemiepiphyte","All","Caatinga","Brazil","6, 7, 8"
"642","Lomariopsis nigropaleata","Lomariopsis","nigropaleata","Lomariopsidaceae","Pteridophyte","Epiphyte","Hemiepiphyte","All","Cerrado; Pantanal","Brazil","12"
"643","Lomariopsis prieuriana","Lomariopsis","prieuriana","Lomariopsidaceae","Pteridophyte","Epiphyte","Hemiepiphyte","All","Caatinga","Brazil","7"
"644","Lomariopsis sorbifolia","Lomariopsis","sorbifolia","Lomariopsidaceae","Pteridophyte","Epiphyte","Unknown","All","Caatinga","Brazil","7, 8"
"645","Lycaste macrobulbon","Lycaste","macrobulbon","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"646","Macradenia grandiflora","Macradenia","grandiflora","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"647","Macradenia paraensis","Macradenia","paraensis","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","11, 23"
"648","Macroclinium wullschlaegelianum","Macroclinium","wullschlaegelianum","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"649","Macroptilium lathyroides","Macroptilium","lathyroides","Faboidae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"650","Marcgravia coriacea","Marcgravia","coriacea","Marcgraviaceae","Angiospermae","Epiphyte","Hemiepiphyte; Terrestrial","All","Caatinga; Cerrado","Brazil","7, 11"
"651","Marcgravia polyantha","Marcgravia","polyantha","Marcgraviaceae","Angiospermae","Hemiepiphyte","Terrestrial","All","Caatinga; Cerrado","Brazil","6, 7, 11"
"652","Marcgraviastrum cuneifolium","Marcgraviastrum","cuneifolium","Marcgraviaceae","Angiospermae","Unknown","Epiphyte; Terrestrial","All","Cerrado","Brazil","6, 9, 11"
"653","Markea coccinea","Markea","coccinea","Solanaceae","Angiospermae","Hemiepiphyte","Hemiepiphyte","All","Cerrado","Brazil","11"
"654","Markea sessiliflora","Markea","sessiliflora","Solanaceae","Angiospermae","Hemiepiphyte","Hemiepiphyte","All","Cerrado","Brazil","11"
"655","Masdevallia infracta","Masdevallia","infracta","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","5, 7, 11"
"656","Maxillaria alba","Maxillaria","alba","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"657","Maxillaria barbosae","Maxillaria","barbosae","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","6, 7"
"658","Maxillaria brasiliensis","Maxillaria","brasiliensis","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","9, 11"
"659","Maxillaria humilis","Maxillaria","humilis","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","6, 7, 9, 11"
"660","Maxillaria imbricata","Maxillaria","imbricata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","6, 9"
"661","Maxillaria leucaimata","Maxillaria","leucaimata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga","Brazil","6, 7, 8"
"662","Maxillaria lutescens","Maxillaria","lutescens","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","1, 7, 8, 11, 24"
"663","Maxillaria notylioglossa","Maxillaria","notylioglossa","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado; Edge","Brazil","5, 6, 7, 9, 11, 20"
"664","Maxillaria ochroleuca","Maxillaria","ochroleuca","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","6, 7, 9, 11, 23, 24"
"665","Maxillaria parviflora","Maxillaria","parviflora","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 11"
"666","Maxillaria picta","Maxillaria","picta","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","5, 11"
"667","Maxillaria pumila","Maxillaria","pumila","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 11"
"668","Maxillaria pungens","Maxillaria","pungens","Orchidaceae","Angiospermae","Epiphyte","Unknown","All","Cerrado","Brazil","1"
"669","Maxillaria rigida","Maxillaria","rigida","Orchidaceae","Angiospermae","Unknown","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Edge","Brazil","5, 7, 11, 20"
"670","Maxillaria rufescens","Maxillaria","rufescens","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","8, 9, 11"
"671","Maxillaria sp.","Maxillaria",NA,"Orchidaceae","Angiospermae",NA,NA,"Paper exclusive","Cerrado","Brazil","11"
"672","Maxillaria subrepens","Maxillaria","subrepens","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 11"
"673","Maxillaria subulata","Maxillaria","subulata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Cerrado","Brazil","6, 9, 11"
"674","Maxillaria uncata","Maxillaria","uncata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","7"
"675","Maxillaria uniflora","Maxillaria","uniflora","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"676","Melinis minutiflora","Melinis","minutiflora","Poaceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"677","Melocactus ernestii","Melocactus","ernestii","Cactaceae","Angiospermae","Unknown","Rupicolous","Paper exclusive accidental","Caatinga","Brazil","6, 7"
"678","Melpomene melanosticta","Melpomene","melanosticta","Polypodiaceae","Pteridophyte","Epiphyte","Rupicolous","All","Caatinga; Cerrado","Brazil","7, 9, 11"
"679","Melpomene moniliformis","Melpomene","moniliformis","Polypodiaceae","Pteridophyte","Epiphyte","Rupicolous","All","Chaco","Argentina","13"
"680","Melpomene peruviana","Melpomene","peruviana","Polypodiaceae","Pteridophyte","Epiphyte","Rupicolous","All","Chaco","Argentina","10, 13, 25"
"681","Melpomene pilosissima","Melpomene","pilosissima","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","6, 7, 9, 11"
"682","Melpomene xiphopteroides","Melpomene","xiphopteroides","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","5, 6, 7, 9"
"683","Merostachys skvortzovii","Merostachys","skvortzovii","Poaceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"684","Microgramma baldwinii","Microgramma","baldwinii","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte","All","Cerrado; Pantanal","Brazil","11, 21"
"685","Microgramma crispata","Microgramma","crispata","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 8, 9, 11, 24"
"686","Microgramma dictyophylla","Microgramma","dictyophylla","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte","All","Caatinga","Brazil","7"
"687","Microgramma geminata","Microgramma","geminata","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","5, 7, 9, 11, 24"
"688","Microgramma lindbergii","Microgramma","lindbergii","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte","All","Cerrado; Chaco","Brazil; Paraguay","1, 6, 11, 16"
"689","Microgramma lycopodioides","Microgramma","lycopodioides","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte","All","Caatinga; Cerrado; Chaco","Brazil; Paraguay","6, 7, 8, 11, 16, 24"
"690","Microgramma megalophylla","Microgramma","megalophylla","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte","All","Cerrado; Pantanal","Brazil","11, 21"
"691","Microgramma percussa","Microgramma","percussa","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte","All","Caatinga; Cerrado; Chaco","Argentina; Brazil","6, 7, 11, 13"
"692","Microgramma persicariifolia","Microgramma","persicariifolia","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte","All","Caatinga; Cerrado; Chaco","Brazil; Paraguay","1, 7, 11, 16"
"693","Microgramma piloselloides","Microgramma","piloselloides","Polypodiaceae","Pteridophyte","Epiphyte","Unknown","All","Caatinga","Brazil","7"
"694","Microgramma reptans","Microgramma","reptans","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"695","Microgramma sp.","Microgramma",NA,"Polypodiaceae","Pteridophyte",NA,NA,"Paper exclusive","Chaco","Argentina","16"
"696","Microgramma sp.1","Microgramma",NA,"Polypodiaceae","Pteridophyte",NA,NA,"Paper exclusive","Cerrado","Brazil","11"
"697","Microgramma sp.2","Microgramma",NA,"Polypodiaceae","Pteridophyte",NA,NA,"Paper exclusive","Caatinga","Brazil","6"
"698","Microgramma sp.3","Microgramma",NA,"Polypodiaceae","Pteridophyte",NA,NA,"Paper exclusive","Chaco","Argentina","16"
"699","Microgramma squamulosa","Microgramma","squamulosa","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Chaco; Pantanal; Edge","Argentina; Bolivia; Brazil; Paraguay","1, 3, 5, 6, 7, 9, 10, 11, 12, 13, 16, 20, 21, 23, 24, 25"
"700","Microgramma tecta","Microgramma","tecta","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 9, 11"
"701","Microgramma thurnii","Microgramma","thurnii","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"702","Microgramma vacciniifolia","Microgramma","vacciniifolia","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte","All","Caatinga; Cerrado; Chaco; Pantanal; Edge","Argentina; Bolivia; Brazil; Paraguay","1, 5, 6, 7, 8, 9, 11, 12, 13, 16, 20, 21, 22, 23, 24"
"703","Miltonia flavescens","Miltonia","flavescens","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado; Chaco","Brazil; Paraguay","1, 9, 11, 16"
"704","Miltonia moreliana","Miltonia","moreliana","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","5, 11"
"705","Mimosa dolens","Mimosa","dolens","Mimosoidae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"706","Mimosa ophthalmocentra","Mimosa","ophthalmocentra","Leguminosae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Caatinga","Brazil","7"
"707","Moranopteris nana","Moranopteris","nana","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","7, 11, 24"
"708","Mormodes rosea","Mormodes","rosea","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","Paper exclusive accidental","Cerrado","Brazil","11"
"709","Mormodes sinuata","Mormodes","sinuata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"710","Mormodes vinacea","Mormodes","vinacea","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11, 12"
"711","Myoxanthus exasperatus","Myoxanthus","exasperatus","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","7"
"712","Myoxanthus lonchophyllus","Myoxanthus","lonchophyllus","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","1, 11, 23"
"713","Myoxanthus octomerioides","Myoxanthus","octomerioides","Orchidaceae","Angiospermae","Epiphyte","Unknown","All","Cerrado","Brazil","11"
"714","Nematanthus albus","Nematanthus","albus","Gesneriaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","5"
"715","Nematanthus crassifolius","Nematanthus","crassifolius","Gesneriaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"716","Nematanthus lanceolatus","Nematanthus","lanceolatus","Gesneriaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","6, 9"
"717","Nematanthus sericeus","Nematanthus","sericeus","Gesneriaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","6"
"718","Nematanthus strigillosus","Nematanthus","strigillosus","Gesneriaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Cerrado","Brazil","1, 6, 9, 11"
"719","Neoglaziovia variegata","Neoglaziovia","variegata","Bromeliaceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Caatinga","Brazil","7"
"720","Neoregelia ampullacea","Neoregelia","ampullacea","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","7"
"721","Neoregelia viridovinosa","Neoregelia","viridovinosa","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"722","Nephrolepis biserrata","Nephrolepis","biserrata","Nephrolepidaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado; Pantanal","Brazil","5, 7, 8, 11, 12, 17, 18, 23"
"723","Nephrolepis brownii","Nephrolepis","brownii","Nephrolepidaceae","Pteridophyte","Epiphyte","Epiphyte; Terrestrial","All","Caatinga","Brazil","5, 7"
"724","Nephrolepis pendula","Nephrolepis","pendula","Nephrolepidaceae","Pteridophyte","Epiphyte","Epiphyte; Terrestrial","All","Caatinga; Cerrado","Brazil","6, 7, 9, 11"
"725","Nephrolepis rivularis","Nephrolepis","rivularis","Nephrolepidaceae","Pteridophyte","Epiphyte","Epiphyte; Terrestrial","All","Caatinga","Brazil","6, 7, 8"
"726","Niphidium crassifolium","Niphidium","crassifolium","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Chaco","Argentina; Bolivia; Brazil; Paraguay","5, 6, 7, 9, 11, 13, 16, 24, 25"
"727","Norantea guianensis","Norantea","guianensis","Marcgraviaceae","Angiospermae","Hemiepiphyte","Hemiepiphyte; Terrestrial","All","Caatinga; Cerrado; Pantanal","Brazil","1, 7, 8, 11, 12, 18, 19, 21"
"728","Notylia barkeri","Notylia","barkeri","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado; Pantanal","Brazil","7, 11, 12"
"729","Notylia glaziovii","Notylia","glaziovii","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"730","Notylia hemitricha","Notylia","hemitricha","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","1, 7, 11"
"731","Notylia inversa","Notylia","inversa","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","7, 23"
"732","Notylia longispicata","Notylia","longispicata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 11"
"733","Notylia lyrata","Notylia","lyrata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","5, 7, 8, 11, 18, 23"
"734","Notylia microchila","Notylia","microchila","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","5, 11"
"735","Notylia nemorosa","Notylia","nemorosa","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 11"
"736","Notylia pubescens","Notylia","pubescens","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 11"
"737","Notylia sagittifera","Notylia","sagittifera","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 11, 18"
"738","Octomeria alexandri","Octomeria","alexandri","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga","Brazil","5, 7, 9"
"739","Octomeria crassifolia","Octomeria","crassifolia","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Edge","Brazil","6, 7, 9, 11, 20"
"740","Octomeria flabellifera","Octomeria","flabellifera","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","7"
"741","Octomeria geraensis","Octomeria","geraensis","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","Paper exclusive accidental","Cerrado","Brazil","11"
"742","Octomeria grandiflora","Octomeria","grandiflora","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","9, 11, 23"
"743","Octomeria sagittata","Octomeria","sagittata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","7"
"744","Octomeria sp.","Octomeria",NA,"Orchidaceae","Angiospermae",NA,NA,"Paper exclusive","Cerrado","Brazil","11"
"745","Octomeria surinamensis","Octomeria","surinamensis","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"746","Octomeria tricolor","Octomeria","tricolor","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","6"
"747","Octomeria warmingii","Octomeria","warmingii","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado; Chaco; Pantanal","Brazil; Paraguay","1, 11, 12, 13, 16, 21"
"748","Odontadenia lutea","Odontadenia","lutea","Apocynaceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"749","Oleandra articulata","Oleandra","articulata","Oleandraceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","5, 6, 7, 9"
"750","Oleandra pilosa","Oleandra","pilosa","Oleandraceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Cerrado","Brazil","11"
"751","Oncidium baueri","Oncidium","baueri","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","8, 11"
"752","Oncidium sp.","Oncidium",NA,"Orchidaceae","Angiospermae",NA,NA,"Paper exclusive","Cerrado; Edge","Brazil","11, 20"
"753","Oncidium wentworthianum","Oncidium","wentworthianum","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","9"
"754","Oreopanax capitatus","Oreopanax","capitatus","Araliaceae","Angiospermae","Hemiepiphyte","Hemiepiphyte","All","Caatinga; Cerrado","Brazil","7, 8, 11, 18"
"755","Orleanesia cuneipetala","Orleanesia","cuneipetala","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"756","Orleanesia mineirosensis","Orleanesia","mineirosensis","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"757","Orleanesia yauaperyensis","Orleanesia","yauaperyensis","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11, 18"
"758","Ornithocephalus gladiatus","Ornithocephalus","gladiatus","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","8, 11"
"759","Ornithocephalus myrticola","Ornithocephalus","myrticola","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"760","Orthophytum maracasense","Orthophytum","maracasense","Bromeliaceae","Angiospermae","Unknown","Epiphyte; Rupicolous; Terrestrial","All","Caatinga","Brazil","5, 6, 7, 9"
"761","Orthophytum rubrum","Orthophytum","rubrum","Bromeliaceae","Angiospermae","Unknown","Rupicolous","Paper exclusive accidental","Caatinga","Brazil","6"
"762","Orthophytum saxicola","Orthophytum","saxicola","Bromeliaceae","Angiospermae","Unknown","Rupicolous","Paper exclusive accidental","Caatinga","Brazil","6"
"763","Pabstiella fusca","Pabstiella","fusca","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","6, 11, 23"
