"","releve_records","TITLE","LITERATURE","YEAR","TAX_SCOPE","SAMPLING_METHOD","QUANT_METHOD","SPECIES","GENERA","EPITHET","FAMILY","PHYLUM","IDENTIFICATION_CONFIDENCE","EPILIST","FLORA","DATASET_CLASSIFICATION","NATURALNESS","INCLUSION_REQUIREMENTS","NUMBER_INDIVIDUALS","SCORE","LONGITUDE","LATITUDE","PRECISION","LIMITS","PHOROPHYTE_FAMILY","PHOROPHYTE_GENUS","PHOROPHYTE_EPITHET","DBH","HEIGHT","OBS.","BIOME","COUNTRY","WWF_ECOREGION"
"1092",35,"Adaptive response of extreme epiphyte Tillandsia species (Bromeliaceae) is demonstrated by different sexual reproduction strategies in the Brazilian Chaco","Paper",2013,"Bromeliaceae","Others","Presence","Tillandsia loliacea","Tillandsia","loliacea","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",NA,"",-57.75,-21.68333333,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"1182",36,"Adaptive response of extreme epiphyte Tillandsia species (Bromeliaceae) is demonstrated by different sexual reproduction strategies in the Brazilian Chaco","Paper",2013,"Bromeliaceae","Others","Presence","Tillandsia recurvifolia","Tillandsia","recurvifolia","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",NA,"",-57.75,-21.68333333,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"98",37,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil","Paper",2007,"Bromeliaceae","Others","Presence","Billbergia distachia","Billbergia","distachia","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Terrestrial","All","Natural","",NA,"",-46.9422,-22.3722,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"99",38,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil","Paper",2007,"Bromeliaceae","Others","Presence","Billbergia distachia","Billbergia","distachia","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Terrestrial","All","Natural","",NA,"",-46.931525,-22.307362,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"121",39,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil","Paper",2007,"Bromeliaceae","Others","Presence","Billbergia porteana","Billbergia","porteana","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",NA,"",-46.9422,-22.3722,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"122",40,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil","Paper",2007,"Bromeliaceae","Others","Presence","Billbergia porteana","Billbergia","porteana","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",NA,"",-46.931525,-22.307362,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"138",41,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil","Paper",2007,"Bromeliaceae","Others","Presence","Bromelia balansae","Bromelia","balansae","Bromeliaceae","Angiospermae","","Unclassified","Terrestrial","Paper exclusive accidental","Natural","",NA,"",-47.82633,-22.2504,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"137",42,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil","Paper",2007,"Bromeliaceae","Others","Presence","Bromelia balansae","Bromelia","balansae","Bromeliaceae","Angiospermae","","Unclassified","Terrestrial","Paper exclusive accidental","Natural","",NA,"",-46.931525,-22.307362,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"415",43,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil","Paper",2007,"Bromeliaceae","Others","Presence","Dyckia tuberosa","Dyckia","tuberosa","Bromeliaceae","Angiospermae","","Unclassified","Rupicolous; Terrestrial","Paper exclusive accidental","Natural","",NA,"",-47.82633,-22.2504,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"1098",44,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil","Paper",2007,"Bromeliaceae","Others","Presence","Tillandsia loliacea","Tillandsia","loliacea","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",NA,"",-47.6333,-22.2333,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"1085",45,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil","Paper",2007,"Bromeliaceae","Others","Presence","Tillandsia loliacea","Tillandsia","loliacea","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",NA,"",-48.439383,-22.861215,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"1124",46,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil","Paper",2007,"Bromeliaceae","Others","Presence","Tillandsia pohliana","Tillandsia","pohliana","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",NA,"",-46.9422,-22.3722,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"1122",47,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil","Paper",2007,"Bromeliaceae","Others","Presence","Tillandsia pohliana","Tillandsia","pohliana","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",NA,"",-46.931525,-22.307362,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"1153",48,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil","Paper",2007,"Bromeliaceae","Others","Presence","Tillandsia recurvata","Tillandsia","recurvata","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",NA,"",-46.931525,-22.307362,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"1175",49,"Anatomia foliar de bromélias ocorrentes em áreas de cerrado do Estado de São Paulo, Brasil","Paper",2007,"Bromeliaceae","Others","Presence","Tillandsia recurvata","Tillandsia","recurvata","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",NA,"",-47.8228,-22.2528,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
