"","releve_records","TITLE","LITERATURE","YEAR","TAX_SCOPE","SAMPLING_METHOD","QUANT_METHOD","SPECIES","GENERA","EPITHET","FAMILY","PHYLUM","IDENTIFICATION_CONFIDENCE","EPILIST","FLORA","DATASET_CLASSIFICATION","NATURALNESS","INCLUSION_REQUIREMENTS","NUMBER_INDIVIDUALS","SCORE","LONGITUDE","LATITUDE","PRECISION","LIMITS","PHOROPHYTE_FAMILY","PHOROPHYTE_GENUS","PHOROPHYTE_EPITHET","DBH","HEIGHT","OBS.","BIOME","COUNTRY","WWF_ECOREGION"
"1184",353,"Contribución al conocimiento florístico del Chaco Oriental, sudeste de la provincia de Formosa, Argentina.","Paper",2015,"All","Others","Abundance","Tillandsia recurvifolia","Tillandsia","recurvifolia","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",NA,"",-58.66666667,-26.6,"Area","Inside","","","",NA,NA,"","Chaco","Argentina","Humid Chaco"
"1278",354,"Contribución al conocimiento florístico del Chaco Oriental, sudeste de la provincia de Formosa, Argentina.","Paper",2015,"All","Others","Abundance","Tillandsia tricholepis","Tillandsia","tricholepis","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte","All","Natural","",NA,"",-58.66666667,-26.6,"Area","Inside","","","",NA,NA,"","Chaco","Argentina","Humid Chaco"
"1296",355,"Contribución al conocimiento florístico del Chaco Oriental, sudeste de la provincia de Formosa, Argentina.","Paper",2015,"All","Others","Abundance","Tillandsia usneoides","Tillandsia","usneoides","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte","All","Natural","",NA,"",-58.66666667,-26.6,"Area","Inside","","","",NA,NA,"","Chaco","Argentina","Humid Chaco"
"1343",356,"Contribución al conocimiento florístico del Chaco Oriental, sudeste de la provincia de Formosa, Argentina.","Paper",2015,"All","Others","Abundance","Trichocentrum pumilum","Trichocentrum","pumilum","Orchidaceae","Angiospermae","","Epiphyte","Epiphyte","All","Natural","",NA,"",-58.66666667,-26.6,"Area","Inside","","","",NA,NA,"","Chaco","Argentina","Humid Chaco"
"38",357,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Aechmea distichantha","Aechmea","distichantha","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Natural","",21,"",-60.38333333,-29.45,"Area","Inside","Sapotaceae","Sideroxylon ","obtusifolium",NA,24.5,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"42",358,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Aechmea distichantha","Aechmea","distichantha","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Natural","",1,"",-60.38333333,-29.45,"Area","Inside","Fabaceae","Prosopis","sp.",NA,7.1,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"354",359,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Cereus forbesii","Cereus","forbesii","Cactaceae","Angiospermae","","Unclassified","Unclassified","Paper exclusive accidental","Natural","",1,"",-60.38333333,-29.45,"Area","Inside","Sapotaceae","Sideroxylon ","obtusifolium",NA,24.5,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"362",360,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Cleistocactus baumanii","Cleistocactus","baumanii","Cactaceae","Angiospermae","","Unclassified","Rupicolous; Terrestrial","Paper exclusive accidental","Natural","",2,"",-60.38333333,-29.45,"Area","Inside","Sapotaceae","Sideroxylon ","obtusifolium",NA,24.5,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"548",361,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Harrisia martinii","Harrisia","martinii","Cactaceae","Angiospermae","","Unclassified","Unclassified","Paper exclusive accidental","Natural","",1,"",-60.38333333,-29.45,"Area","Inside","Sapotaceae","Sideroxylon ","obtusifolium",NA,24.5,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"715",362,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Microgramma vacciniifolia","Microgramma","vacciniifolia","Polypodiaceae","Pteridophyte","","Epiphyte","Epiphyte","All","Natural","",2,"",-60.38333333,-29.45,"Area","Inside","Anacardiaceae","Schinopsis ","balansae",NA,14.8,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"713",363,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Microgramma vacciniifolia","Microgramma","vacciniifolia","Polypodiaceae","Pteridophyte","","Epiphyte","Epiphyte","All","Natural","",5,"",-60.38333333,-29.45,"Area","Inside","Fabaceae","Acacia ","praecox",NA,6.4,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"720",364,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Microgramma vacciniifolia","Microgramma","vacciniifolia","Polypodiaceae","Pteridophyte","","Epiphyte","Epiphyte","All","Natural","",5,"",-60.38333333,-29.45,"Area","Inside","Fabaceae","Prosopis","sp.",NA,7.1,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"707",365,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Microgramma vacciniifolia","Microgramma","vacciniifolia","Polypodiaceae","Pteridophyte","","Epiphyte","Epiphyte","All","Natural","",37,"",-60.38333333,-29.45,"Area","Inside","Sapotaceae","Sideroxylon ","obtusifolium",NA,24.5,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"915",366,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Rhipsalis aculeata","Rhipsalis","aculeata","Cactaceae","Angiospermae","","Epiphyte","Unclassified","Paper exclusive accidental","Natural","",32,"",-60.38333333,-29.45,"Area","Inside","Sapotaceae","Sideroxylon ","obtusifolium",NA,24.5,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"914",367,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Rhipsalis aculeata","Rhipsalis","aculeata","Cactaceae","Angiospermae","","Epiphyte","Unclassified","Paper exclusive accidental","Natural","",2,"",-60.38333333,-29.45,"Area","Inside","Fabaceae","Prosopis","sp.",NA,7.1,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"912",368,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Rhipsalis aculeata","Rhipsalis","aculeata","Cactaceae","Angiospermae","","Epiphyte","Unclassified","Paper exclusive accidental","Natural","",7,"",-60.38333333,-29.45,"Area","Inside","Anacardiaceae","Schinopsis ","balansae",NA,14.8,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1039",369,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia bandensis","Tillandsia","bandensis","Bromeliaceae","Angiospermae","","Epiphyte","Rupicolous","All","Natural","",1107,"",-60.38333333,-29.45,"Area","Inside","Anacardiaceae","Schinopsis ","balansae",NA,14.8,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1040",370,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia bandensis","Tillandsia","bandensis","Bromeliaceae","Angiospermae","","Epiphyte","Rupicolous","All","Natural","",109,"",-60.38333333,-29.45,"Area","Inside","Sapotaceae","Sideroxylon ","obtusifolium",NA,24.5,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1041",371,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia bandensis","Tillandsia","bandensis","Bromeliaceae","Angiospermae","","Epiphyte","Rupicolous","All","Natural","",68,"",-60.38333333,-29.45,"Area","Inside","Fabaceae","Acacia ","praecox",NA,6.4,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1043",372,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia bandensis","Tillandsia","bandensis","Bromeliaceae","Angiospermae","","Epiphyte","Rupicolous","All","Natural","",82,"",-60.38333333,-29.45,"Area","Inside","Fabaceae","Prosopis","sp.",NA,7.1,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1061",373,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia duratii","Tillandsia","duratii","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte","All","Natural","",123,"",-60.38333333,-29.45,"Area","Inside","Fabaceae","Prosopis","sp.",NA,7.1,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1055",374,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia duratii","Tillandsia","duratii","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte","All","Natural","",48,"",-60.38333333,-29.45,"Area","Inside","Sapotaceae","Sideroxylon ","obtusifolium",NA,24.5,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1046",375,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia duratii","Tillandsia","duratii","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte","All","Natural","",47,"",-60.38333333,-29.45,"Area","Inside","Fabaceae","Acacia ","praecox",NA,6.4,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1058",376,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia duratii","Tillandsia","duratii","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte","All","Natural","",261,"",-60.38333333,-29.45,"Area","Inside","Anacardiaceae","Schinopsis ","balansae",NA,14.8,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1082",377,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia ixioides","Tillandsia","ixioides","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",14,"",-60.38333333,-29.45,"Area","Inside","Anacardiaceae","Schinopsis ","balansae",NA,14.8,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1080",378,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia ixioides","Tillandsia","ixioides","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",22,"",-60.38333333,-29.45,"Area","Inside","Sapotaceae","Sideroxylon ","obtusifolium",NA,24.5,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1081",379,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia ixioides","Tillandsia","ixioides","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",4,"",-60.38333333,-29.45,"Area","Inside","Fabaceae","Prosopis","sp.",NA,7.1,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1104",380,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia loliacea","Tillandsia","loliacea","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",21,"",-60.38333333,-29.45,"Area","Inside","Sapotaceae","Sideroxylon ","obtusifolium",NA,24.5,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1097",381,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia loliacea","Tillandsia","loliacea","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",3,"",-60.38333333,-29.45,"Area","Inside","Fabaceae","Acacia ","praecox",NA,6.4,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1096",382,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia loliacea","Tillandsia","loliacea","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",2,"",-60.38333333,-29.45,"Area","Inside","Fabaceae","Prosopis","sp.",NA,7.1,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1172",383,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia recurvata","Tillandsia","recurvata","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",1346,"",-60.38333333,-29.45,"Area","Inside","Fabaceae","Acacia ","praecox",NA,6.4,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1181",384,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia recurvata","Tillandsia","recurvata","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",367,"",-60.38333333,-29.45,"Area","Inside","Sapotaceae","Sideroxylon ","obtusifolium",NA,24.5,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1165",385,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia recurvata","Tillandsia","recurvata","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",3488,"",-60.38333333,-29.45,"Area","Inside","Fabaceae","Prosopis","sp.",NA,7.1,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1177",386,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia recurvata","Tillandsia","recurvata","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",979,"",-60.38333333,-29.45,"Area","Inside","Anacardiaceae","Schinopsis ","balansae",NA,14.8,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1185",387,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia recurvifolia","Tillandsia","recurvifolia","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",267,"",-60.38333333,-29.45,"Area","Inside","Anacardiaceae","Schinopsis ","balansae",NA,14.8,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1189",388,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia recurvifolia","Tillandsia","recurvifolia","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",84,"",-60.38333333,-29.45,"Area","Inside","Fabaceae","Acacia ","praecox",NA,6.4,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1187",389,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia recurvifolia","Tillandsia","recurvifolia","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",134,"",-60.38333333,-29.45,"Area","Inside","Fabaceae","Prosopis","sp.",NA,7.1,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1183",390,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia recurvifolia","Tillandsia","recurvifolia","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",218,"",-60.38333333,-29.45,"Area","Inside","Sapotaceae","Sideroxylon ","obtusifolium",NA,24.5,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1283",391,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia tricholepis","Tillandsia","tricholepis","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte","All","Natural","",9,"",-60.38333333,-29.45,"Area","Inside","Sapotaceae","Sideroxylon ","obtusifolium",NA,24.5,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1287",392,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia tricholepis","Tillandsia","tricholepis","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte","All","Natural","",6,"",-60.38333333,-29.45,"Area","Inside","Anacardiaceae","Schinopsis ","balansae",NA,14.8,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1289",393,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia tricholepis","Tillandsia","tricholepis","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte","All","Natural","",4,"",-60.38333333,-29.45,"Area","Inside","Fabaceae","Acacia ","praecox",NA,6.4,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"1264",394,"Distribución de epífitas vasculares sobre cuatro espécies arbóreas en un bosque xerofítico del Chaco Húmedo, Argentina.","Paper",2018,"All","Others","Abundance","Tillandsia tricholepis","Tillandsia","tricholepis","Bromeliaceae","Angiospermae","","Epiphyte","Epiphyte","All","Natural","",16,"",-60.38333333,-29.45,"Area","Inside","Fabaceae","Prosopis","sp.",NA,7.1,"Epiphyte species abundance among four phorophyte species. The mean height and basal area from all phorophyte species were presented.","Chaco","Argentina","Humid Chaco"
"63",395,"Diversidade e riqueza de orquídeas epífitas em Matas de galeria da Floresta Nacional de Brasília-DF","Others",2013,"Orchidaceae","Others","Presence","Anathallis imbricata","Anathallis","imbricata","Orchidaceae","Angiospermae","","Epiphyte","Epiphyte","All","Natural","",NA,"",-48.089444,-15.790833,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"128",396,"Diversidade e riqueza de orquídeas epífitas em Matas de galeria da Floresta Nacional de Brasília-DF","Others",2013,"Orchidaceae","Others","Presence","Brassavola flagellaris","Brassavola","flagellaris","Orchidaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",NA,"",-48.089444,-15.790833,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"129",397,"Diversidade e riqueza de orquídeas epífitas em Matas de galeria da Floresta Nacional de Brasília-DF","Others",2013,"Orchidaceae","Others","Presence","Brassavola flagellaris","Brassavola","flagellaris","Orchidaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",NA,"",-48.068056,-15.798611,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"178",398,"Diversidade e riqueza de orquídeas epífitas em Matas de galeria da Floresta Nacional de Brasília-DF","Others",2013,"Orchidaceae","Others","Presence","Bulbophyllum plumosum","Bulbophyllum","plumosum","Orchidaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",NA,"",-48.068056,-15.798611,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"171",399,"Diversidade e riqueza de orquídeas epífitas em Matas de galeria da Floresta Nacional de Brasília-DF","Others",2013,"Orchidaceae","Others","Presence","Bulbophyllum plumosum","Bulbophyllum","plumosum","Orchidaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",NA,"",-48.089444,-15.790833,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"289",400,"Diversidade e riqueza de orquídeas epífitas em Matas de galeria da Floresta Nacional de Brasília-DF","Others",2013,"Orchidaceae","Others","Presence","Catasetum sp.2","Catasetum","sp.2","Orchidaceae","Angiospermae","morpho",NA,NA,"Paper exclusive","Natural","",NA,"",-48.089444,-15.790833,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"374",401,"Diversidade e riqueza de orquídeas epífitas em Matas de galeria da Floresta Nacional de Brasília-DF","Others",2013,"Orchidaceae","Others","Presence","Comparettia coccinea","Comparettia","coccinea","Orchidaceae","Angiospermae","","Epiphyte","Epiphyte","All","Natural","",NA,"",-48.089444,-15.790833,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"443",402,"Diversidade e riqueza de orquídeas epífitas em Matas de galeria da Floresta Nacional de Brasília-DF","Others",2013,"Orchidaceae","Others","Presence","Epidendrum nocturnum","Epidendrum","nocturnum","Orchidaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",NA,"",-48.089444,-15.790833,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"449",403,"Diversidade e riqueza de orquídeas epífitas em Matas de galeria da Floresta Nacional de Brasília-DF","Others",2013,"Orchidaceae","Others","Presence","Epidendrum pseudodifforme","Epidendrum","pseudodifforme","Orchidaceae","Angiospermae","","Epiphyte","Epiphyte","All","Natural","",NA,"",-48.068056,-15.798611,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"447",404,"Diversidade e riqueza de orquídeas epífitas em Matas de galeria da Floresta Nacional de Brasília-DF","Others",2013,"Orchidaceae","Others","Presence","Epidendrum pseudodifforme","Epidendrum","pseudodifforme","Orchidaceae","Angiospermae","","Epiphyte","Epiphyte","All","Natural","",NA,"",-48.089444,-15.790833,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"541",405,"Diversidade e riqueza de orquídeas epífitas em Matas de galeria da Floresta Nacional de Brasília-DF","Others",2013,"Orchidaceae","Others","Presence","Gomesa varicosa","Gomesa","varicosa","Orchidaceae","Angiospermae","","Epiphyte","Epiphyte","All","Natural","",NA,"",-48.089444,-15.790833,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"593",406,"Diversidade e riqueza de orquídeas epífitas em Matas de galeria da Floresta Nacional de Brasília-DF","Others",2013,"Orchidaceae","Others","Presence","Isabelia violacea","Isabelia","violacea","Orchidaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",NA,"",-48.068056,-15.798611,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"595",407,"Diversidade e riqueza de orquídeas epífitas em Matas de galeria da Floresta Nacional de Brasília-DF","Others",2013,"Orchidaceae","Others","Presence","Isabelia violacea","Isabelia","violacea","Orchidaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",NA,"",-48.089444,-15.790833,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"660",408,"Diversidade e riqueza de orquídeas epífitas em Matas de galeria da Floresta Nacional de Brasília-DF","Others",2013,"Orchidaceae","Others","Presence","Maxillaria ochroleuca","Maxillaria","ochroleuca","Orchidaceae","Angiospermae","","Epiphyte","Epiphyte; Rupicolous","All","Natural","",NA,"",-48.068056,-15.798611,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"670",409,"Diversidade e riqueza de orquídeas epífitas em Matas de galeria da Floresta Nacional de Brasília-DF","Others",2013,"Orchidaceae","Others","Presence","Maxillaria uniflora","Maxillaria","uniflora","Orchidaceae","Angiospermae","","Epiphyte","Epiphyte","All","Natural","",NA,"",-48.068056,-15.798611,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
"947",410,"Diversidade e riqueza de orquídeas epífitas em Matas de galeria da Floresta Nacional de Brasília-DF","Others",2013,"Orchidaceae","Others","Presence","Rodriguezia decora","Rodriguezia","decora","Orchidaceae","Angiospermae","","Epiphyte","Epiphyte","All","Natural","",NA,"",-48.068056,-15.798611,"Area","Inside","","","",NA,NA,"","Cerrado","Brazil","Cerrado"
